case_id,context,phase_step,ordinary_old_prediction,ordinary_new_prediction,api_estimate,trace_estimate,api_boundary_error,trace_boundary_error
identity_case_00,A,1,-0.1,-0.07071067811865475,,,,
identity_case_00,A,2,-0.19,-0.13435028842544403,,,,
identity_case_00,A,3,-0.271,-0.19162593770155437,,,,
identity_case_00,A,4,-0.34390000000000004,-0.2431740220500537,,,,
identity_case_00,A,5,-0.40951000000000004,-0.28956729796370306,,,,
identity_case_00,A,6,-0.46855900000000006,-0.3313212462859875,,,,
identity_case_00,A,7,-0.5217031000000001,-0.36889979977604354,,,,
identity_case_00,A,8,-0.5695327900000001,-0.40272049791709397,,,,
identity_case_00,A,9,-0.6125795110000001,-0.4331591262440393,,,,
identity_case_00,A,10,-0.6513215599000001,-0.4605538917382901,,,,
identity_case_00,A,11,-0.68618940391,-0.48520918068311586,,,,
identity_case_00,A,12,-0.717570463519,-0.5073989407334589,,,,
identity_case_00,A,13,-0.7458134171671,-0.5273697247787679,,,,
identity_case_00,A,14,-0.7712320754503901,-0.5453434304195458,,,,
identity_case_00,A,15,-0.7941088679053511,-0.561519765496246,,,,
identity_case_00,A,16,-0.814697981114816,-0.5760784670652761,,,,
identity_case_00,A,17,-0.8332281830033343,-0.5891812984774033,,,,
identity_case_00,A,18,-0.8499053647030009,-0.6009738467483177,,,,
identity_case_00,A,19,-0.8649148282327008,-0.6115871401921407,,,,
identity_case_00,A,20,-0.8784233454094308,-0.6211391042915814,,,,
identity_case_00,A,21,-0.8905810108684877,-0.629735871981078,,,,
identity_case_00,A,22,-0.901522909781639,-0.6374729629016249,,,,
identity_case_00,A,23,-0.911370618803475,-0.6444363447301171,,,,
identity_case_00,A,24,-0.9202335569231275,-0.6507033883757601,,,,
identity_case_00,A,25,-0.9282102012308148,-0.6563437276568389,,,,
identity_case_00,A,26,-0.9353891811077333,-0.6614200330098098,,,,
identity_case_00,A,27,-0.94185026299696,-0.6659887078274835,,,,
identity_case_00,A,28,-0.947665236697264,-0.67010051516339,,,,
identity_case_00,A,29,-0.9528987130275376,-0.6738011417657057,,,,
identity_case_00,A,30,-0.9576088417247839,-0.6771317057077899,,,,
identity_case_00,A,31,-0.9618479575523055,-0.6801292132556657,,,,
identity_case_00,A,32,-0.9656631617970749,-0.6828269700487538,,,,
identity_case_00,A,33,-0.9690968456173674,-0.6852549511625332,,,,
identity_case_00,A,34,-0.9721871610556306,-0.6874401341649345,,,,
identity_case_00,A,35,-0.9749684449500675,-0.6894067988670959,,,,
identity_case_00,A,36,-0.9774716004550608,-0.691176797099041,,,,
identity_case_00,A,37,-0.9797244404095546,-0.6927697955077916,,,,
identity_case_00,A,38,-0.9817519963685992,-0.6942034940756673,,,,
identity_case_00,A,39,-0.9835767967317393,-0.6954938227867552,,,,
identity_case_00,A,40,-0.9852191170585654,-0.6966551186267345,,,,
identity_case_00,A,41,-0.9866972053527088,-0.6977002848827157,,,,
identity_case_00,A,42,-0.9880274848174379,-0.6986409345130988,,,,
identity_case_00,A,43,-0.9892247363356941,-0.6994875191804437,,,,
identity_case_00,A,44,-0.9903022627021246,-0.700249445381054,,,,
identity_case_00,A,45,-0.9912720364319122,-0.7009351789616034,,,,
identity_case_00,A,46,-0.992144832788721,-0.7015523391840979,,,,
identity_case_00,A,47,-0.9929303495098489,-0.7021077833843429,,,,
identity_case_00,A,48,-0.9936373145588641,-0.7026076831645633,,,,
identity_case_00,A,49,-0.9942735831029776,-0.7030575929667617,,,,
identity_case_00,A,50,-0.9948462247926799,-0.7034625117887403,,,,
identity_case_00,A,51,-0.995361602313412,-0.7038269387285211,,,,
identity_case_00,A,52,-0.9958254420820708,-0.7041549229743237,,,,
identity_case_00,A,53,-0.9962428978738638,-0.7044501087955461,,,,
identity_case_00,A,54,-0.9966186080864774,-0.7047157760346463,,,,
identity_case_00,A,55,-0.9969567472778297,-0.7049548765498365,,,,
